Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Realme,realme C63 5G Charger in the Box,"₹10,999",4.4,"7,031 Ratings & 272 Reviews",4,128.0,5000.0,6.67,32MP
Realme,realme P3 Pro 5G,"₹23,999",4.4,"3,650 Ratings & 273 Reviews",12,256.0,6000.0,6.83,50MP
Realme,realme Narzo N65 5G,"₹11,599",4.3,"6,671 Ratings & 277 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme NARZO N65 5G,"₹12,447",4.3,"6,671 Ratings & 277 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme 13 Pro+ 5G,"₹26,990",4.4,"10,358 Ratings & 964 Reviews",12,256.0,5200.0,6.7,50MP
Realme,realme C75 5G,"₹13,999",4.4,"1,730 Ratings & 68 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme C75 5G,"₹13,499",4.4,"1,730 Ratings & 68 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme 70 TURBO 5G,"₹14,280",4.3,"6,218 Ratings & 466 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme C75 5G,"₹13,999",4.4,"1,730 Ratings & 68 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme 13 Pro+ 5G,"₹24,949",4.4,"16,937 Ratings & 1,665 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme 13 Pro 5G,"₹27,999",4.3,"1,121 Ratings & 74 Reviews",12,512.0,5200.0,6.7,50MP
Realme,realme 13 Pro 5G,"₹21,988",4.4,"7,980 Ratings & 541 Reviews",8,128.0,5200.0,6.7,50MP
Realme,realme C65 5G,"₹12,989",4.3,"14,299 Ratings & 575 Reviews",6,128.0,5000.0,6.67,50MP
Realme,realme 13 Pro 5G,"₹30,999",4.4,"7,980 Ratings & 541 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme 13 Pro 5G,"₹23,899",4.4,"7,980 Ratings & 541 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme 70 TURBO 5G,"₹22,238",4.4,518 Ratings & 27 Reviews,12,256.0,5000.0,6.67,50MP
Realme,realme 13 Pro 5G,"₹23,898",4.4,"7,980 Ratings & 541 Reviews",8,256.0,5200.0,6.7,50MP
Realme,realme C75 5G,"₹12,800",4.2,"1,115 Ratings & 67 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme 13+ 5G,"₹17,999",4.3,"3,678 Ratings & 316 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme NARZO N65 5G,"₹11,959",4.3,"2,087 Ratings & 112 Reviews",4,128.0,5000.0,6.67,50MP
Realme,realme 13 5G,"₹15,699",4.3,"1,384 Ratings & 64 Reviews",8,128.0,5000.0,6.72,50MP
Realme,realme 13+ 5G,"₹18,998",4.3,"3,678 Ratings & 316 Reviews",8,256.0,5000.0,6.67,50MP
Realme,realme 12 Pro+ 5G,"₹27,899",4.4,"27,590 Ratings & 3,118 Reviews",8,256.0,5000.0,6.7,50MP
Realme,realme C75 5G,"₹12,800",4.2,"1,115 Ratings & 67 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme C75 5G,"₹12,800",4.2,"1,115 Ratings & 67 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme 12 Pro+ 5G,"₹29,999",4.5,"15,064 Ratings & 1,366 Reviews",12,256.0,5000.0,6.7,50MP
Realme,realme 12 Pro+ 5G,"₹22,999",4.4,"27,590 Ratings & 3,118 Reviews",8,256.0,5000.0,6.7,50MP
Realme,realme 13 5G,"₹15,899",4.3,"1,384 Ratings & 64 Reviews",8,128.0,5000.0,6.72,50MP
Realme,realme 12+ 5G,"₹21,999",4.3,"20,515 Ratings & 1,809 Reviews",8,256.0,5000.0,6.67,50MP
Realme,realme 12+ 5G,"₹19,890",4.3,"20,515 Ratings & 1,809 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme 13 5G,"₹19,999",4.3,"1,384 Ratings & 64 Reviews",8,256.0,5000.0,6.72,50MP
Realme,realme P1 Speed 5G,"₹19,990",4.3,"1,670 Ratings & 111 Reviews",12,256.0,5000.0,6.67,50MP
Realme,realme 14 Pro 5G,"₹26,999",4.4,"13,639 Ratings & 1,008 Reviews",8,256.0,6000.0,6.77,50MP
Realme,realme C11 2021,"₹8,999",4.3,"2,13,832 Ratings & 11,184 Reviews",4,64.0,5000.0,6.5,8MP
Realme,realme 13+ 5G,"₹17,992",4.3,"3,678 Ratings & 316 Reviews",8,128.0,5000.0,6.67,50MP
Realme,realme GT Neo 3T,"₹33,999",4.3,"16,232 Ratings & 1,501 Reviews",8,256.0,5000.0,6.62,64MP
Realme,realme GT 7 Pro,"₹54,999",4.5,58 Ratings & 5 Reviews,16,512.0,5800.0,6.78,50MP
Realme,realme 14 Pro 5G,"₹26,999",4.4,"13,639 Ratings & 1,008 Reviews",8,256.0,6000.0,6.77,50MP
Realme,realme 14 Pro 5G,"₹24,999",4.4,"13,639 Ratings & 1,008 Reviews",8,128.0,6000.0,6.77,50MP
Realme,realme 13+ 5G,"₹20,999",4.3,399 Ratings & 39 Reviews,12,256.0,5000.0,6.67,50MP
Realme,realme 13+ 5G,"₹18,499",4.3,"3,678 Ratings & 316 Reviews",8,256.0,5000.0,6.67,50MP
Realme,realme Gt 7T,"₹34,996",4.5,259 Ratings & 25 Reviews,12,256.0,7000.0,6.8,50MP
