Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Vivo,vivo Z1Pro,"₹15,990",4.5,"3,59,469 Ratings & 34,806 Reviews",4.0,64.0,5000,6.53,16MP
Vivo,vivo T2x 5G,"₹11,999",4.4,"1,89,774 Ratings & 9,362 Reviews",4.0,128.0,5000,6.58,50MP
Vivo,vivo V30 5G,"₹32,980",4.5,"1,173 Ratings & 95 Reviews",12.0,256.0,5000,6.78,50MP
Vivo,vivo V30 5G,"₹27,847",4.5,"8,194 Ratings & 709 Reviews",8.0,128.0,5000,6.78,50MP
Vivo,vivo V25 5G,"₹31,999",4.3,"2,007 Ratings & 197 Reviews",12.0,256.0,4500,6.44,64MP
Vivo,vivo T2 Pro 5G,"₹22,798",4.5,"1,25,589 Ratings & 9,175 Reviews",8.0,128.0,4600,6.78,64MP
Vivo,vivo V30 5G,"₹27,599",4.5,"1,173 Ratings & 95 Reviews",12.0,256.0,5000,6.78,50MP
Vivo,vivo V25 5G,"₹29,970",4.3,"2,007 Ratings & 197 Reviews",12.0,256.0,4500,6.44,64MP
Vivo,vivo Y72 5G,"₹19,990",4.3,"5,995 Ratings & 459 Reviews",8.0,128.0,5000,6.58,48MP
Vivo,vivo Y02,"₹11,999",3.8,25 Ratings & 2 Reviews,2.0,32.0,5000,6.51,8MP
